id,span,propaganda,sequence_size,qm_size,em_size,ner_person,ner_organization,ner_country,sentiment,polarity,subjectivity,readability,loaded_language
2125,"attention-craving, politically ambitious Senators ",1,50.00,0,0,,,,3.00,0.25,0.75,-161.01,0.00
2126,"Don’t put it on television, but make public a written transcript.",0,65.00,0,0,,,,2.00,0.00,0.07,68.77,0.00
2127,"Invite written questions from the Senate, then schedule one day for the nominee to respond.",0,91.00,0,0,,Senate,,1.00,0.00,0.00,64.71,0.00
2128,caterwauling protestors and grandstanding Senators ,1,51.00,0,0,,,,3.00,0.00,0.00,-52.05,0.00
2129,Just stop holding them.,0,23.00,0,0,,,,2.00,0.00,0.00,92.80,0.00
2130,confirmation circuses,1,21.00,0,0,,,,2.00,0.00,0.00,-91.30,0.00
2131,trendoid socialists armed with torches and pitch-forks,1,54.00,0,0,,,,2.00,0.00,0.00,55.91,0.00
2132,who was savaged ,1,16.00,0,0,,,,2.00,0.00,0.00,59.97,0.00
2133,demonizing them ,1,16.00,0,0,,,,2.00,0.00,0.00,-49.00,0.00
2134,knuckle-dragging Neanderthal sexists ,1,37.00,0,0,,,,2.00,0.00,0.00,-75.40,0.00
2135,"The progressive party can dare the Republicans to ignore the endless specious demands, stop the show-trial, and proceed to a vote on Kavanaugh, because they know the Republicans, fearful of the “optics,” will cave.",0,214.00,0,0,Kavanaugh,,,1.00,-0.51,0.88,36.97,0.00
2136,The Dems ,1,9.00,0,0,,,,2.00,0.00,0.00,77.91,0.00
2137,Grown-ups know all that and don’t have to be reminded every time the subject arises.,0,84.00,0,0,,,,1.00,-0.17,0.33,81.63,0.00
2138,"Hence the widespread virtue-signaling on the part even of conservative writers who preface their comments about Ford and Ramirez with prologues full of truisms about how horrible sexual assault is, how its self-proclaimed victims “must be heard,” and how churlish and sexist it is to question the truth of any charge.",0,317.00,0,0,Ramirez,Ford,,0.00,-0.05,0.79,28.17,0.00
2139,"It’s the new third rail of American politics, one that transcends party affiliation.",0,84.00,0,0,,,,3.00,0.05,0.15,41.36,0.00
2140,politically suicidal ,1,21.00,0,0,,,,2.00,0.00,0.10,-175.90,0.00
2141,The Dems ,1,9.00,0,0,,,,2.00,0.00,0.00,77.91,0.00
2142,"Women have exchanged one form of dependence, and one double standard for another.",0,81.00,0,0,,,,2.00,0.00,0.00,58.28,0.00
2143,Victorian hothouse flowers ,1,27.00,0,0,,,,2.00,0.00,0.00,-50.02,0.00
2144,The irony is that today’s feminists have been willing to sacrifice the earlier narrative of female power and agency that had been stifled by traditional views of the sexes and their capabilities.,0,195.00,0,0,,,,2.00,0.06,0.54,30.54,0.00
2145,feral sexuality ,1,16.00,0,0,,,,3.00,0.00,0.00,-133.60,0.00
2146,"every accusation of sexual assault, no matter how much it’s unsupported by corroborating evidence or even plausibility, must be believed",1,136.00,0,0,,,,1.00,0.35,0.52,8.88,0.00
2147,why has Grassley so far allowed himself to be played by the Dems,1,64.00,0,0,Grassley,,,1.00,0.10,1.00,92.12,0.00
2148,obviously partisan and hypocritical ,1,36.00,0,0,,,,1.00,0.00,0.50,-93.33,0.00
2149,the Dems ,1,9.00,0,0,,,,2.00,0.00,0.00,77.91,0.00
2150,"But if Kavanaugh is confirmed, there will be five reliably Constitutionalist justices on the bench, who are unlikely to tolerate judicial usurpation of Congress’s law-making powers.",0,181.00,0,0,Kavanaugh,Congress,,1.00,-0.05,0.75,28.17,0.00
2151,Hence the Constitutional order must be subverted by the Supreme Court and its unaccountable justices enjoying lifelong tenure.,0,126.00,0,0,,Supreme Court,,1.00,0.20,0.60,36.28,0.00
2152,Its divided and balanced powers were designed precisely to rein in overreaching ambition and concentrations of power.,0,117.00,0,0,,,,1.00,0.40,0.80,28.84,0.00
2153,The biggest obstacle to the progressive dream of government controlled and managed by a technocratic oligarchy has been the Constitution.,0,137.00,0,0,,,,1.00,0.00,0.00,34.26,0.00
2154,The courts and especially the Supreme Court have been critical to the progressives’ program since Woodrow Wilson.,0,113.00,0,0,Woodrow Wilson,Supreme Court,,1.00,0.00,0.90,62.68,0.00
2155,stooped so low with these smears ,1,33.00,0,0,,,,1.00,0.00,0.30,99.23,0.00
2156,the Dems,1,8.00,0,0,,,,2.00,0.00,0.00,120.21,0.00
2157,Why?,0,4.00,1,0,,,,1.00,0.00,0.00,121.22,0.00
2158,The point is to delay confirmation by slandering Kavanaugh and baiting the Republicans into appearing to abuse victims of sexual assault.,0,137.00,0,0,Kavanaugh,,,1.00,0.50,0.83,24.78,0.00
2159,But vetting Kavanaugh’s qualifications isn’t the point.,0,55.00,0,0,Kavanaugh,,,1.00,0.00,0.00,22.07,0.00
2160,rabid partisans and office-seekers,1,34.00,0,0,,,,2.00,0.00,0.00,-8.73,0.00
2161,Her accusation will not be proved true or false.,0,48.00,0,0,Her,,,1.00,-0.03,0.62,87.72,0.00
2162,"If Ford actually testifies on Thursday, or Ramirez is granted the same concession, nothing material will be gained.",0,115.00,0,0,Ramirez,Ford,,1.00,0.00,0.11,44.75,0.00
2163,absurd show trial ,1,18.00,0,0,,,,1.00,-0.50,1.00,34.59,0.00
2164,They all comprise the old tactic of serially escalating demands that cannot be satisfied in order to compel your enemy to give in.,0,130.00,0,0,,,,1.00,0.30,0.60,39.67,0.00
2165,Grassley shouldn’t cave on these conditions.,0,44.00,0,0,Grassley,,,1.00,0.00,0.00,56.93,0.00
2166,"I am woman, hear me roar",1,24.00,0,0,,,,1.00,0.00,0.00,99.23,0.00
2167,"He can’t be in the room with her, apparently because she’s still traumatized and may start experiencing flashbacks.",0,115.00,0,0,"her, He, she",,,1.00,0.05,0.35,53.21,0.00
2168,a grotesque inversion ,1,22.00,0,0,,,,1.00,-0.55,1.00,34.59,0.00
2169,Only one camera can be in the room.,0,35.00,0,0,,,,2.00,0.00,1.00,88.74,0.00
2170,preposterous conditions ,1,24.00,0,0,,,,1.00,0.00,0.00,-133.60,0.00
2171,"Ford has finally agreed to testify, set for Thursday for now.",0,61.00,0,0,,Ford,,2.00,0.00,1.00,68.77,0.00
2172,The “FBI investigation” is another delaying tactic.,0,51.00,0,0,,FBI,,1.00,0.00,0.00,-3.32,0.00
2173,"No law enforcement agency, let alone the FBI, would waste its time with an allegation of a crime decades in the past, and so patently incoherent and lacking in evidence.",0,169.00,0,0,,FBI,,1.00,-0.22,0.14,57.95,0.00
2174,People who knew Ramirez after her time at Yale say that she never once mentioned the incident — until Kavanaugh's nomination was pending.,0,137.00,0,0,"Ramirez, Kavanaugh, her, she",Yale,,1.00,0.00,0.00,56.59,0.00
2175,10.,0,3.00,0,0,,,,2.00,0.00,0.00,121.22,0.00
2176,Ramirez admits there are holes in her memory due to how much she drank at the party.,0,84.00,0,0,"Ramirez, her, she",,,1.00,0.04,0.29,88.06,0.00
2177,9.,0,2.00,0,0,,,,2.00,0.00,0.00,121.22,0.00
2178,her Democrat lawyer,1,19.00,0,0,her,,,2.00,0.00,0.00,93.81,0.00
2179,8.,0,2.00,0,0,,,,3.00,0.00,0.00,121.22,0.00
2180,"Ramirez, just like Christine Blasey Ford, is a registered Democrat and is dedicated to leftist causes.",0,102.00,0,0,"Ramirez, Christine Blasey Ford",,,0.00,-0.05,0.60,55.24,0.00
2181,7.,0,2.00,0,0,,,,2.00,0.00,0.00,121.22,0.00
2182,A woman who claims she was “best friends” with Ramirez says Ramirez never mentioned the story and initially said her friend's accusations against Kavanaugh might be “politically motivated.”,0,189.00,0,0,"Ramirez, Kavanaugh, her, she",,,1.00,0.33,0.13,43.06,0.00
2183,6.,0,2.00,0,0,,,,2.00,0.00,0.00,121.22,0.00
2184,"Ramirez contacted her former classmates, asking about the incident, and admitted she was not sure that Kavanaugh was the male who exposed himself.",0,146.00,0,0,"Ramirez, Kavanaugh, her, she",,,1.00,-0.08,0.33,56.59,0.00
2185,5.,0,2.00,0,0,,,,2.00,0.00,0.00,121.22,0.00
2186,A third person that Ramirez claimed was at the party says she was not there for the alleged incident.,0,101.00,0,0,"Ramirez, she",,,1.00,-0.05,0.05,77.57,0.00
2187,4.,0,2.00,0,0,,,,2.00,0.00,0.00,121.22,0.00
2188,The man accused of egging on Kavanaugh denied Ramirez's allegations and vouched for Kavanaugh’s character.,0,106.00,0,0,"Ramirez, Kavanaugh",,,1.00,0.00,0.00,47.79,0.00
2189,3.,0,2.00,0,0,,,,2.00,0.00,0.00,121.22,0.00
2190,The New York Times could not find a single person who could corroborate Ramirez’s claims.,0,89.00,0,0,Ramirez,New York Times,,1.00,0.03,0.33,81.63,0.00
2191,2.,0,2.00,0,0,,,,2.00,0.00,0.00,121.22,0.00
2192,The New Yorker could not find a single witness who could put Kavanaugh at the alleged party.,0,92.00,0,0,Kavanaugh,,,1.00,-0.01,0.26,71.14,0.00
2193,1.,0,2.00,0,0,,,,2.00,0.00,0.00,121.22,0.00
2194,Here’s a catalogue from the Daily Wire:,0,39.00,0,0,,,,2.00,0.00,0.00,81.29,0.00
2195,Ramirez’s charge is even flimsier.,0,34.00,0,0,Ramirez,,,1.00,0.00,0.00,83.32,0.00
2196,"Given that 36 years have passed since the incident, and the accuser’s memory is so hazy and short on coherent details, the FBI has nothing to investigate.",0,154.00,0,0,,FBI,,1.00,0.25,0.50,52.53,0.00
2197,vehemently denies ,1,18.00,0,0,,,,2.00,0.00,0.00,-91.30,0.00
2198,The two men Ford named as possible witnesses to the assault have contradicter her claims under oath.,0,100.00,0,0,her,Ford,,1.00,0.00,1.00,62.68,0.00
2199,"Another friend who reported that the school was abuzz with gossip about the attack (which apparently took place during summer break), retracted her statement.",0,158.00,0,0,her,,,1.00,0.05,0.35,47.12,0.00
2200,"A “lifelong friend” whom Ford claims was at the party has denied any knowledge of the it, and says she’s never met Kavanaugh.",0,125.00,0,0,"she, Kavanaugh",Ford,,1.00,-0.10,0.60,73.51,0.00
2201,She told no one about the assault until 30 years later.,0,55.00,0,0,She,,,2.00,0.00,0.00,85.69,0.00
2202,One girl or two?).,0,18.00,1,0,,,,2.00,0.00,0.00,118.18,0.00
2203,Her own details of the event don’t jibe (Four boys or three?,0,60.00,1,0,Her,,,1.00,0.60,1.00,101.60,0.00
2204,"Ford can’t remember where and when the alleged assault took place, nor how she got to or went home from the party where it allegedly occurred.",0,142.00,0,0,she,Ford,,1.00,-0.10,0.10,70.47,0.00
2205,"Ford and Dianne Feinstein also keep demanding an FBI investigation, even though no federal crime is being alleged, and any investigation 36 years after the offense is impossible.",0,178.00,0,0,Dianne Feinstein,"Ford, FBI",,1.00,-0.38,0.55,26.14,0.00
2206,find the stomach to put an end to the farce ,1,44.00,0,0,,,,1.00,-0.40,0.50,95.17,0.00
2207,Creepy Lawyer,1,13.00,0,0,,,,2.00,-0.50,1.00,120.21,0.00
2208,"So of course, Grassley having been intimidated into giving Ford a chance to address the Committee, Ramirez and her handlers are now demanding the same privilege.",0,161.00,0,0,"Ramirez, Grassley, her",Ford,,1.00,0.00,0.12,45.09,0.00
2209,The Committee caved and moved the date to Thursday.,0,51.00,0,0,,Committee,,3.00,0.00,0.00,87.72,0.00
2210,"Then she feared for her life because of death threats ––threats also made to Kavanaugh, his wife and two young daughters–– so she now demands enhanced security measures.",0,169.00,0,0,"she, his, Kavanaugh, her",,,1.00,0.10,0.40,59.98,0.00
2211,"Wait until Dr. Ford feels that she can come before the committee.” Ford doesn’t “feel” like she can testify on Monday because she’s afraid of flying, despite offers from the Committee to travel to her in California.",0,215.00,0,0,"Ford, her, she","Ford, Committee",,1.50,-0.25,0.45,61.16,0.00
2212,bullying deadlines,1,18.00,0,0,,,,2.00,0.00,0.00,-6.70,0.00
2213,the Dems ,1,9.00,0,0,,,,2.00,0.00,0.00,77.91,0.00
2214,"Of course, after each concession comes another demand.",0,54.00,0,0,,,,2.00,0.00,0.00,46.44,0.00
2215,the Dems ,1,9.00,0,0,,,,2.00,0.00,0.00,77.91,0.00
2216,naked ploy ,1,11.00,0,0,,,,2.00,0.00,0.40,77.91,0.00
2217,reeks of ,1,9.00,0,0,,,,2.00,0.00,0.00,77.91,0.00
2218,"A few weeks after Ford went public, and after Kavanaugh said he had dairies from that summer detailing his whereabouts, The New Yorker published Ramirez’s account of a drunken party filled with obscene drinking games where he exposed himself to Ramirez.",0,253.00,0,0,"Ramirez, his, Kavanaugh, he","Ford, The New Yorker",,1.00,0.08,0.38,46.78,0.00
2219,Feinstein still hasn’t given the Judiciary Committee an unredacted copy of the letter.,0,86.00,0,0,Feinstein,Judiciary Committee,,1.00,0.00,0.00,41.36,0.00
2220,the Dems ,1,9.00,0,0,,,,2.00,0.00,0.00,77.91,0.00
2221,"The last-minute accusations from Christine Blasey Ford, a woman who claims that decades ago Kavanaugh groped her at a high school party, and Deborah Ramirez, who accused Kavanaugh of exposing himself to her at a frat party at Yale, are transparent acts of aggression against the judge and Republicans, one engineered by the Democrats",1,333.00,0,0,"Deborah Ramirez, Kavanaugh, her, Christine Blasey Ford",Yale,,1.00,0.16,0.54,25.13,0.00
2222,"Brett Kavanaugh’s confirmation hearings for the Supreme Court illustrate that this false assumption leads only to more demands, and ultimately to defeat.",0,153.00,0,0,Brett Kavanaugh,Supreme Court,,1.00,0.02,0.78,40.69,0.00
2223,"amoral, unfair, or vicious",1,26.00,0,0,,,,1.00,-0.75,1.00,75.88,0.00
2224,This timeless truth of human nature is one that we moderns can’t seem to accept.,0,80.00,0,0,,,,3.00,0.00,0.10,81.63,0.00
2225,"From the playground to geopolitics, appeasing an aggressor invites only more aggression.",0,88.00,0,0,,,,1.00,0.25,0.75,33.92,0.00
2226,Bruce Thornton is a Shillman Journalism Fellow at the David Horowitz Freedom Center.,0,84.00,0,0,Bruce Thornton,David Horowitz Freedom Center,,1.00,-0.10,0.10,66.74,0.00
2227,Stop Appeasing the Democrats,0,28.00,0,0,,,,2.00,0.00,0.00,75.88,0.00
2228,We’ll see soon enough if Goldstein’s prediction comes true.,0,59.00,0,0,Goldstein,,,1.00,0.17,0.57,87.72,0.00
2229,"The prospect that the Democrats will take the Senate, albeit thin, is realistic, and so they will do whatever is necessary in order to make sure that there is a ninth member of the court there by the time a Democratic majority could take over in the Senate in January.”",0,269.00,0,0,,"Democrats, Senate",,3.00,0.07,0.77,37.65,0.00
2230,“I think we ought to recognize that.,0,36.00,0,0,,,,2.00,0.00,0.00,89.75,0.00
2231,exactly a zero percent chance ,1,30.00,0,0,,,,1.00,0.25,0.25,32.56,0.00
2232,"For example, at a Friday afternoon preview of upcoming cases in the Supreme Court’s approaching October term that was hosted by the Federalist Society, panelist Thomas C. Goldstein of the law firm of Goldstein & Russell predicted that the high court would have nine members again soon.",0,285.00,0,0,Thomas C. Goldstein,"Supreme Court, Goldstein & Russell, Federalist Society",,1.00,-0.01,0.31,48.13,0.00
2233,"Washington insiders still believe Kavanaugh will be confirmed, or at least they did before the two new accusers popped up.",0,122.00,0,0,Kavanaugh,,,3.00,0.08,0.62,59.64,0.00
2234,“My client is not Deborah Ramirez.”,0,35.00,0,0,Deborah Ramirez,,,1.00,0.00,0.00,90.77,0.00
2235,"We will be demanding the opportunity to present testimony to the committee and will likewise be demanding that Judge and others be subpoenaed to testify,” Avenatti wrote on Twitter.",0,181.00,0,0,Avenatti,,,1.00,0.00,0.00,25.12,0.00
2236,“I represent a woman with credible information regarding Judge Kavanaugh and Mark Judge.,0,88.00,0,0,Kavanaugh,,,3.00,0.40,0.70,41.36,0.00
2237,media-savvy sleazeball lawyer ,1,30.00,0,0,,,,2.00,0.00,0.00,9.21,0.00
2238,Ramirez claims Kavanaugh exposed himself to her and brushed his genitals against her.,0,85.00,0,0,"Ramirez, his, Kavanaugh, her",,,1.00,0.00,0.10,75.20,0.00
2239,"Meanwhile, the New Yorker magazine reported Sunday that Deborah Ramirez, 53, suddenly claims to have been assaulted by Kavanaugh at a drunken party decades ago at Yale College.",0,176.00,0,0,"Deborah Ramirez, Kavanaugh","Yale College, New Yorker",,1.00,0.07,0.48,43.06,0.00
2240,"The GOP currently controls the Senate, which has the final say on judicial nominations, by an uncomfortably close margin of 51 to 49.",0,133.00,0,0,,"GOP, Senate",,1.00,-0.17,0.80,48.13,0.00
2241,Election Day is November 6.,0,27.00,0,0,,,,2.00,0.00,0.00,66.40,0.00
2242,Democrats would prefer to drag the confirmation process into the next Congress where they stand a good chance of taking control from Republicans.,0,145.00,0,0,,Congress,,1.00,0.20,0.22,56.59,0.00
2243,Roughly speaking there is a 4-to-4 liberal to conservative ideological split on the court.,0,90.00,0,0,,,,1.00,-0.10,0.40,40.35,0.00
2244,"The high court normally has a complement of nine justices but with Associate Justice Anthony Kennedy’s retirement July 31, which cleared the way for Kavanaugh’s nomination, there have only been only eight justices in place.",0,223.00,0,0,"Kavanaugh, Anthony Kennedy",,,1.00,0.08,0.80,35.95,0.00
2245,"If Kavanaugh isn’t on the bench on October 1, the Supreme Court will be shorthanded as it begins hearing cases in its new term.",0,127.00,0,0,Kavanaugh,Supreme Court,,1.00,0.14,0.45,64.04,0.00
2246,"I look forward to testifying on Thursday about the truth, and defending my good name — and the reputation for character and integrity I have spent a lifetime building — against these last-minute allegations.”",0,208.00,0,0,,,,3.00,0.30,0.35,36.97,0.00
2247,smear,1,5.00,0,0,,,,1.00,0.00,0.00,121.22,0.00
