,sentence,span,propaganda
4658,"As has been widely reported, three bishops in Kazakhstan – Tomash Peta, Jan Pawel Lenga, and Athanasius Schneider – issued a Profession of the Immutable Truths about Sacramental Marriage on Dec. 31, 2017.
","As has been widely reported, three bishops in Kazakhstan – Tomash Peta, Jan Pawel Lenga, and Athanasius Schneider – issued a Profession of the Immutable Truths about Sacramental Marriage on Dec. 31, 2017.
",0
4659,"The profession was made public on Jan. 2, 2018.
","The profession was made public on Jan. 2, 2018.
",0
4660,"In the document, the three bishops solemnly professed the Church’s received teaching and discipline regarding sacramental marriage and the limited conditions (see Familiaris Consortio, n. 84) under which Catholics who are civilly divorced and joined in a second union may receive sacramental absolution and Holy Communion.
",the three bishops solemnly professed,1
4661,"Ordained to the priesthood in 1961, Fischer headed the Marriage and Family Centre of the Feldkirch diocese from 1979 to 1990.
","Ordained to the priesthood in 1961, Fischer headed the Marriage and Family Centre of the Feldkirch diocese from 1979 to 1990.
",0
4662,"After serving as vicar general of the diocese from 1989, in 2005 Pope Benedict XVI appointed him bishop of Felkirch where he served until 2011, retiring at the age of 75.
","After serving as vicar general of the diocese from 1989, in 2005 Pope Benedict XVI appointed him bishop of Felkirch where he served until 2011, retiring at the age of 75.
",0
4663,"Bishop Fischer’s support of the profession comes one week after Bishop Athanasius Schneider, auxiliary of Astana, Kazakstan, invited the world’s bishops to sign the document and join in raising a common voice in defense of the sanctity and the indissolubility of marriage.
","Bishop Fischer’s support of the profession comes one week after Bishop Athanasius Schneider, auxiliary of Astana, Kazakstan, invited the world’s bishops to sign the document and join in raising a common voice in defense of the sanctity and the indissolubility of marriage.
",0
4664,"“God decides the time, and the time will come when the Pope and the episcopacy again will proclaim, with all clarity, unambiguity and beauty, the sanctity of marriage, and of the family, and of the Eucharist,” Schneider told LifesiteNews in an exclusive Jan. 15 interview.
","will proclaim, with all clarity, unambiguity and beauty, the sanctity of marriage, and of the family, and of the Eucharist,”",1
4665,"Schneider said greater public support of the document from the world’s 5,000 bishops would be “a stronger voice for professing the constant truths of the Church, and it would be a beautiful common voice defending the sanctity and the indissolubility of marriage in the midst of a real neo-pagan society where divorce has become a plague and where sexual depravity is increasingly spreading.”
","Schneider said greater public support of the document from the world’s 5,000 bishops would be “a stronger voice for professing the constant truths of the Church, and it would be a beautiful common voice defending the sanctity and the indissolubility of marriage in the midst of a real neo-pagan society where divorce has become a plague and where sexual depravity is increasingly spreading.”
",0
4666,"Bishop Fischer’s public support of the Profession of Immutable Truths about Sacramental Marriage brings the number of signatories to nine bishops and one cardinal.
","Bishop Fischer’s public support of the Profession of Immutable Truths about Sacramental Marriage brings the number of signatories to nine bishops and one cardinal.
",0
4667,"To date, in addition to the three original signatories from Kazakstan, the following prelates have signed the profession:
","To date, in addition to the three original signatories from Kazakstan, the following prelates have signed the profession:
",0
4668,"• Cardinal Janis Pujats, Emeritus Archbishop Metropolitan of Riga, Latvia
","• Cardinal Janis Pujats, Emeritus Archbishop Metropolitan of Riga, Latvia
",0
4669,"• Archbishop Carlo Maria Viganò of Italy and former apostolic nuncio to the United States
","• Archbishop Carlo Maria Viganò of Italy and former apostolic nuncio to the United States
",0
4670,"• His Excellency Luigi Negri, Archbishop emeritus of Ferrara-Comacchio, Italy
","• His Excellency Luigi Negri, Archbishop emeritus of Ferrara-Comacchio, Italy
",0
4671,"• Bishop Andreas Laun, Emeritus Auxiliary of Salzburg, Austria
","• Bishop Andreas Laun, Emeritus Auxiliary of Salzburg, Austria
",0
4672,"• His Excellency Rene Gracida, Bishop emeritus of Corpus Christi, Texas, USA
","• His Excellency Rene Gracida, Bishop emeritus of Corpus Christi, Texas, USA
",0
4673,"• His Excellency Marian Eleganti, auxiliary bishop of Chur, Switzerland
","• His Excellency Marian Eleganti, auxiliary bishop of Chur, Switzerland
",0
4674,"• His Excellency Elmar Fischer, Bishop emeritus of Feldkirch, Austria.
","• His Excellency Elmar Fischer, Bishop emeritus of Feldkirch, Austria.
",0
4675,"Dem Congressman Praises Hitler-Loving Anti-Semite
",Loving Anti-Semite,1
4676,"The media is very interested in racism.
",The media is very interested in racism,1
4677,"Except when it's coming from inside the house.
","Except when it's coming from inside the house.
",0
4678,"It's maintained a solid boycott on reporting on the photo of Obama posing with Farrakhan.
","It's maintained a solid boycott on reporting on the photo of Obama posing with Farrakhan.
",0
4679,"Don't count on these comments by a Congressional Black Cacus member to get reported either.
","Don't count on these comments by a Congressional Black Cacus member to get reported either.
",0
4680,"Democratic Illinois Rep. Danny Davis defended Nation of Islam leader Louis Farrakhan as an “outstanding human being” on Monday.
","Democratic Illinois Rep. Danny Davis defended Nation of Islam leader Louis Farrakhan as an “outstanding human being” on Monday.
",0
4681,"Farrakhan’s history of racially extreme comments includes blaming Jews for the September 11 attacks, saying white people “deserve to die” and praising Adolf Hitler as a “very great man.” “I personally know [Farrakhan], I’ve been to his home, done meetings, participated in events with him,” Davis told TheDC.
","Farrakhan’s history of racially extreme comments includes blaming Jews for the September 11 attacks, saying white people “deserve to die” and praising Adolf Hitler as a “very great man.” “I personally know [Farrakhan], I’ve been to his home, done meetings, participated in events with him,” Davis told TheDC.
",0
4682,"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.
","I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,”",1
4683,"When asked about Farrakhan’s history of anti-Semitic comments, Davis was dismissive and said that many people in politics have a history of inflammatory comments.
","When asked about Farrakhan’s history of anti-Semitic comments, Davis was dismissive and said that many people in politics have a history of inflammatory comments.
",0
